preset,gross_yield,base_rate,ltv,theta_rent_to_debt,stress_occ,stress_shock_bp,stress_rate,stress_cashflow,stress_dscr,worst_cashflow_on_support,worst_dscr_on_support,failure_probability,max_failure_probability,max_shock_bp_at_stress_occ_dscr1,passes_stress,passes_probability,admissible
rightmove_example,0.07727272727272727,0.05,0.65,0.11888111888111888,0.85,200.0,0.07,0.007045454545454542,1.1548451548451548,-0.00872727272727273,0.8321678321678322,0.055399999999999984,0.1,308.39160839160843,True,True,True
rightmove_example,0.07727272727272727,0.05,0.66,0.11707988980716252,0.85,200.0,0.07,0.006345454545454543,1.1373475009838645,-0.009527272727272731,0.8195592286501376,0.07379999999999998,0.1,296.14325068870517,True,True,True
rightmove_example,0.07727272727272727,0.05,0.67,0.11533242876526457,0.85,200.0,0.07,0.005645454545454544,1.1203721651482845,-0.010327272727272727,0.8073270013568521,0.08489999999999996,0.1,284.26051560379915,True,True,True
rightmove_example,0.07727272727272727,0.05,0.68,0.11363636363636362,0.85,200.0,0.07,0.004945454545454538,1.1038961038961037,-0.011127272727272729,0.7954545454545454,0.09489999999999996,0.1,272.7272727272727,True,True,True
rightmove_example,0.07727272727272727,0.05,0.69,0.11198945981554678,0.85,200.0,0.07,0.004245454545454545,1.08789760963674,-0.011927272727272724,0.7839262187088275,0.10959999999999995,0.1,261.5283267457182,True,False,False
rightmove_example,0.07727272727272727,0.05,0.7,0.1103896103896104,0.85,200.0,0.07,0.003545454545454546,1.072356215213358,-0.012727272727272719,0.7727272727272728,0.12539999999999993,0.1,250.64935064935068,True,False,False
rightmove_example,0.07727272727272727,0.05,0.71,0.1088348271446863,0.85,200.0,0.07,0.002845454545454547,1.0572526065483812,-0.013527272727272721,0.7618437900128042,0.14719999999999991,0.1,240.0768245838669,True,False,False
rightmove_example,0.07727272727272727,0.05,0.72,0.10732323232323232,0.85,200.0,0.07,0.0021454545454545476,1.0425685425685427,-0.014327272727272723,0.7512626262626263,0.16539999999999994,0.1,229.79797979797988,True,False,False
rightmove_example,0.07727272727272727,0.05,0.73,0.10585305105853052,0.85,200.0,0.07,0.0014454545454545414,1.0282867817114392,-0.015127272727272725,0.7409713574097136,0.1827999999999999,0.1,219.80074719800749,True,False,False
rightmove_example,0.07727272727272727,0.05,0.74,0.10442260442260443,0.85,200.0,0.07,0.0007454545454545422,1.0143910143910144,-0.015927272727272727,0.730958230958231,0.2015999999999999,0.1,210.07371007371003,True,False,False
rightmove_example,0.07727272727272727,0.05,0.75,0.10303030303030303,0.85,200.0,0.07,4.545454545454297e-05,1.000865800865801,-0.016727272727272723,0.7212121212121213,0.22199999999999992,0.1,200.60606060606057,True,False,False
rightmove_example,0.07727272727272727,0.05,0.76,0.10167464114832535,0.85,200.0,0.07,-0.0006545454545454563,0.9876965140123034,-0.017527272727272725,0.7117224880382775,0.2503999999999999,0.1,191.38755980861248,False,False,False
rightmove_example,0.07727272727272727,0.05,0.77,0.10035419126328217,0.85,200.0,0.07,-0.0013545454545454555,0.9748692865575982,-0.018327272727272727,0.7024793388429752,0.2747999999999999,0.1,182.4085005903188,False,False,False
rightmove_example,0.07727272727272727,0.05,0.78,0.09906759906759906,0.85,200.0,0.07,-0.0020545454545454617,0.9623709623709622,-0.01912727272727273,0.6934731934731935,0.30239999999999995,0.1,173.65967365967364,False,False,False
rightmove_example,0.07727272727272727,0.05,0.79,0.09781357882623705,0.85,200.0,0.07,-0.002754545454545461,0.9501890514548741,-0.01992727272727273,0.6846950517836593,0.31919999999999993,0.1,165.1323360184119,False,False,False
rightmove_example,0.07727272727272727,0.05,0.8,0.09659090909090909,0.85,200.0,0.07,-0.00345454545454546,0.9383116883116882,-0.020727272727272726,0.6761363636363636,0.3512999999999999,0.1,156.81818181818173,False,False,False
rightmove_example,0.07727272727272727,0.05,0.81,0.09539842873176206,0.85,200.0,0.07,-0.004154545454545459,0.92672759339426,-0.021527272727272735,0.6677890011223344,0.3753999999999999,0.1,148.70931537598207,False,False,False
rightmove_example,0.07727272727272727,0.05,0.82,0.0942350332594235,0.85,200.0,0.07,-0.004854545454545452,0.9154260373772569,-0.022327272727272716,0.6596452328159647,0.3861999999999999,0.1,140.79822616407986,False,False,False
rightmove_example,0.07727272727272727,0.05,0.83,0.09309967141292443,0.85,200.0,0.07,-0.005554545454545458,0.9043968080112658,-0.023127272727272725,0.651697699890471,0.42679999999999985,0.1,133.07776560788616,False,False,False
rightmove_example,0.07727272727272727,0.05,0.84,0.091991341991342,0.85,200.0,0.07,-0.006254545454545457,0.893630179344465,-0.02392727272727272,0.643939393939394,0.43939999999999985,0.1,125.54112554112554,False,False,False
rightmove_example,0.07727272727272727,0.05,0.85,0.09090909090909091,0.85,200.0,0.07,-0.006954545454545456,0.8831168831168831,-0.02472727272727273,0.6363636363636364,0.46439999999999987,0.1,118.18181818181817,False,False,False
