preset,gross_yield,base_rate,ltv,theta_rent_to_debt,stress_occ,stress_shock_bp,stress_rate,stress_cashflow,stress_dscr,worst_cashflow_on_support,worst_dscr_on_support,failure_probability,max_failure_probability,max_shock_bp_at_stress_occ_dscr1,passes_stress,passes_probability,admissible
durham_typical,0.1,0.05,0.72,0.1388888888888889,0.85,200.0,0.07,0.017600000000000005,1.3492063492063493,-0.0015999999999999903,0.9722222222222224,0.0029999999999999983,0.1,444.4444444444445,True,True,True
durham_typical,0.1,0.05,0.73,0.13698630136986303,0.85,200.0,0.07,0.0169,1.3307240704500978,-0.0023999999999999924,0.9589041095890413,0.005999999999999997,0.1,431.5068493150685,True,True,True
durham_typical,0.1,0.05,0.74,0.13513513513513514,0.85,200.0,0.07,0.0162,1.3127413127413128,-0.0031999999999999945,0.945945945945946,0.005999999999999997,0.1,418.91891891891896,True,True,True
durham_typical,0.1,0.05,0.75,0.13333333333333333,0.85,200.0,0.07,0.0155,1.2952380952380953,-0.00399999999999999,0.9333333333333335,0.009599999999999994,0.1,406.6666666666667,True,True,True
durham_typical,0.1,0.05,0.76,0.13157894736842105,0.85,200.0,0.07,0.0148,1.2781954887218046,-0.004799999999999992,0.9210526315789475,0.014099999999999991,0.1,394.7368421052631,True,True,True
durham_typical,0.1,0.05,0.77,0.12987012987012989,0.85,200.0,0.07,0.014100000000000001,1.261595547309833,-0.005599999999999994,0.9090909090909092,0.014099999999999991,0.1,383.1168831168831,True,True,True
durham_typical,0.1,0.05,0.78,0.12820512820512822,0.85,200.0,0.07,0.013399999999999995,1.2454212454212452,-0.006399999999999996,0.8974358974358975,0.022199999999999987,0.1,371.7948717948719,True,True,True
durham_typical,0.1,0.05,0.79,0.12658227848101267,0.85,200.0,0.07,0.012699999999999996,1.2296564195298372,-0.007199999999999998,0.8860759493670887,0.022199999999999987,0.1,360.75949367088606,True,True,True
durham_typical,0.1,0.05,0.8,0.125,0.85,200.0,0.07,0.011999999999999997,1.2142857142857142,-0.007999999999999993,0.8750000000000001,0.022199999999999987,0.1,350.00000000000006,True,True,True
durham_typical,0.1,0.05,0.81,0.12345679012345678,0.85,200.0,0.07,0.011299999999999998,1.199294532627866,-0.008800000000000002,0.8641975308641975,0.03879999999999999,0.1,339.5061728395062,True,True,True
durham_typical,0.1,0.05,0.82,0.12195121951219513,0.85,200.0,0.07,0.010600000000000005,1.1846689895470384,-0.009599999999999984,0.8536585365853661,0.03879999999999999,0.1,329.26829268292687,True,True,True
durham_typical,0.1,0.05,0.83,0.12048192771084339,0.85,200.0,0.07,0.009899999999999999,1.1703958691910499,-0.010399999999999993,0.8433734939759038,0.055399999999999984,0.1,319.27710843373507,True,True,True
durham_typical,0.1,0.05,0.84,0.11904761904761905,0.85,200.0,0.07,0.0092,1.1564625850340136,-0.011199999999999988,0.8333333333333335,0.055399999999999984,0.1,309.5238095238095,True,True,True
durham_typical,0.1,0.05,0.85,0.11764705882352942,0.85,200.0,0.07,0.0085,1.1428571428571428,-0.011999999999999997,0.823529411764706,0.055399999999999984,0.1,300.0,True,True,True
